Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2771.19,0.00,3030534.91,,,,,,115.27,,2445.24,3521.55,87346.75,13977.56
Active Decode Throughput Per User (tokens/sec/user),60.02,0.00,68367.22,,,,,,2.42,,60.36,93.40,1764.32,298.85
Active Prefill Throughput (tokens/sec),341981.61,752.62,671923.19,,,,,,347786.22,,420539.89,442357.59,483374.55,71127.90
Active Prefill Throughput Per User (tokens/sec/user),2157.01,698.99,33627.64,,,,,,1359.00,,2037.29,9727.56,14618.10,2890.03
Active Total Throughput (tokens/sec),344310.89,53.28,954824.91,,,,,,350562.13,,423525.92,445319.52,486477.23,72395.56
Credit-to-Start Latency (ms),2.99,0.29,491.49,31407.89,0.56,0.74,0.83,0.96,1.14,1.61,2.88,6.96,48.50,12.10
Decode Duration (ms),16944.54,0.00,967798.34,178137905.23,8.31,86.72,288.55,2741.61,7719.15,16761.52,37938.88,66016.42,156010.60,35829.34
E2E Output Token Throughput (tokens/sec/user),12.29,0.01,108.20,129164.04,0.13,0.63,1.14,2.56,6.28,16.10,33.23,45.23,65.69,14.63
Effective Concurrency,286.57,0.00,362.00,,,,,,309.00,,341.00,347.00,358.00,76.83
Effective Decode Concurrency,48.94,0.00,95.00,,,,,,49.00,,68.00,75.00,87.00,15.04
Effective Decode Throughput (tokens/sec),2758.18,0.00,3030534.91,,,,,,114.69,,2438.41,3513.03,87287.37,13946.01
Effective Decode Throughput Per User (tokens/sec/user),59.74,0.00,68367.22,,,,,,2.40,,60.21,93.21,1762.44,298.17
Effective Latency (CO-aware) (ms),99224.18,822.26,1058483.69,1043143855.86,4449.58,7934.77,16479.21,45915.04,82191.76,131208.03,195212.43,251946.58,376192.87,79521.96
Effective Prefill Concurrency,237.63,0.00,325.00,,,,,,255.00,,300.00,307.00,318.00,74.88
Effective Prefill Throughput (tokens/sec),340602.14,0.00,671923.19,,,,,,347441.28,,420350.86,442357.59,483374.55,74220.08
Effective Prefill Throughput Per User (tokens/sec/user),2148.31,0.00,33627.64,,,,,,1357.55,,2032.78,9700.94,14596.18,2887.43
Effective Total Throughput (tokens/sec),343360.33,0.00,954824.91,,,,,,350309.89,,423508.30,444986.90,486477.23,74518.69
Full Decode Duration (ms),16945.50,0.03,967798.64,178148036.47,9.36,87.65,291.07,2741.81,7720.14,16761.86,37939.05,66017.87,156011.57,35829.39
Full-Response Inter Token Latency (ms),18.47,0.00,512.28,194112.50,0.53,0.84,1.98,12.09,17.13,21.18,28.84,38.69,76.97,18.54
Full-Response Output Token Throughput Per User (tokens/sec/user),333.22,1.95,368815.75,3501099.51,12.99,25.85,34.67,47.22,58.39,82.73,505.65,1186.37,1892.52,5351.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,258.79,1.00,16068.00,2720608.00,5.00,22.00,31.00,50.00,111.00,250.00,572.00,972.40,2351.08,558.06
HTTP Chunks Sent,1.00,1.00,1.00,10513.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.20,0.00,402.37,2122.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,5.11
HTTP Connection Overhead (ms),0.20,0.00,402.37,2122.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,5.11
HTTP Connection Reused (ratio),0.96,0.00,1.00,10071.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),65.61,1.01,4213.12,689795.81,1.76,6.36,8.33,13.20,28.53,63.27,143.46,244.61,594.03,140.97
HTTP Data Sent (KB),459.39,0.61,3332.34,4829530.33,4.36,12.13,102.47,165.44,306.33,543.13,1004.98,1497.82,2473.83,486.90
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),99221.11,820.63,1058481.87,1043111543.78,4447.63,7933.64,16478.19,45912.62,82166.40,131199.13,195211.44,251945.62,376188.86,79520.62
