Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),3701.33,0.00,3858869.49,,,,,,87.80,,1633.41,4891.45,96974.09,18165.04
Active Decode Throughput Per User (tokens/sec/user),57.90,0.00,75602.16,,,,,,1.19,,39.70,107.14,1515.23,280.55
Active Prefill Throughput (tokens/sec),444368.66,598.80,1108981.84,,,,,,450638.25,,644196.53,706533.02,829304.54,160109.52
Active Prefill Throughput Per User (tokens/sec/user),12963.75,598.80,196554.27,,,,,,9566.30,,22997.55,31606.69,63325.31,11481.46
Active Total Throughput (tokens/sec),444460.61,102.59,3097554.77,,,,,,452391.36,,646357.17,709953.42,830318.12,164576.03
Credit-to-Start Latency (ms),2.07,0.27,116.89,27818.12,0.50,0.63,0.69,0.82,1.00,1.41,2.33,3.88,35.79,6.58
Decode Duration (ms),18190.59,0.00,1112873.39,244463365.86,8.36,86.30,204.49,1084.36,8779.16,18885.60,41551.72,70270.91,165232.22,36976.16
E2E Output Token Throughput (tokens/sec/user),27.12,0.03,120.51,364448.92,0.83,4.32,7.16,13.71,25.17,37.76,47.86,56.55,79.84,17.03
Effective Concurrency,112.54,0.00,184.00,,,,,,114.00,,152.00,161.00,171.00,32.88
Effective Decode Concurrency,67.16,0.00,135.00,,,,,,67.00,,94.00,103.00,118.00,21.79
Effective Decode Throughput (tokens/sec),3684.10,0.00,3858869.49,,,,,,87.03,,1615.59,4834.20,96935.56,18124.46
Effective Decode Throughput Per User (tokens/sec/user),57.63,0.00,75602.16,,,,,,1.18,,39.19,106.60,1513.67,279.92
Effective Latency (CO-aware) (ms),30483.81,400.18,1114210.45,409671943.43,2687.80,5579.08,7703.96,13025.43,21167.39,33727.43,56584.52,84401.82,185619.17,38650.15
Effective Prefill Concurrency,45.38,0.00,145.00,,,,,,47.00,,71.00,77.00,117.00,22.87
Effective Prefill Throughput (tokens/sec),439370.20,0.00,1108981.84,,,,,,448572.05,,642076.79,705410.95,826105.25,165960.46
Effective Prefill Throughput Per User (tokens/sec/user),12817.93,0.00,196554.27,,,,,,9492.70,,22854.16,31503.90,63065.63,11498.27
Effective Total Throughput (tokens/sec),443054.30,0.00,3097554.77,,,,,,452237.75,,645784.40,709608.24,830318.12,166200.61
Full Decode Duration (ms),18191.29,0.03,1112873.70,244472724.45,9.80,87.19,205.15,1086.09,8779.77,18885.79,41552.14,70271.28,165233.42,36976.17
Full-Response Inter Token Latency (ms),18.98,0.00,8889.11,254978.27,0.63,0.88,1.32,5.72,16.83,22.40,32.00,43.22,89.03,80.20
Full-Response Output Token Throughput Per User (tokens/sec/user),447.15,0.11,608519.27,6006991.80,11.23,23.14,31.25,44.64,59.41,174.80,755.60,1139.98,1595.61,8891.08
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,269.14,1.00,15984.00,3617025.00,5.00,21.00,31.00,52.00,118.00,274.00,597.20,1011.00,2441.44,532.32
HTTP Chunks Sent,1.00,1.00,1.00,13439.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,1.73,49.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
HTTP Connection Overhead (ms),0.00,0.00,1.73,49.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
HTTP Connection Reused (ratio),0.99,0.00,1.00,13331.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.09
HTTP Data Received (KB),69.35,1.04,4074.39,932008.32,1.76,6.30,8.43,13.87,30.59,70.53,154.37,257.77,626.48,136.15
HTTP Data Sent (KB),463.73,0.57,3689.94,6232019.88,4.44,11.57,31.61,159.24,329.31,568.25,970.55,1475.36,2626.34,497.91
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),30481.67,399.31,1114209.21,409643219.92,2686.95,5578.36,7702.69,13022.04,21166.62,33726.16,56582.25,84400.82,185594.34,38649.87
HTTP Receiving (ms),18191.97,0.00,1112873.47,244481855.68,9.57,86.55,204.63,1085.93,8779.22,18886.90,41551.77,70270.94,165232.24,36976.07
HTTP Sending (ms),0.20,0.05,4.89,2631.81,0.07,0.13,0.14,0.15,0.18,0.21,0.24,0.28,0.64,0.11
HTTP Total Time (ms),30481.68,399.31,1114209.21,409643269.27,2686.95,5578.36,7702.69,13022.04,21166.62,33726.16,56582.25,84400.82,185594.34,38649.87
HTTP Waiting (TTFB) (ms),12289.51,180.99,284480.10,165158732.43,681.13,1562.76,2738.10,5933.82,10479.77,16411.83,22480.11,27697.17,42910.91,10375.34
Input Sequence Length (tokens),119004.98,151.00,950587.00,1599307873.00,1111.38,2966.00,8073.00,40883.00,84294.00,145735.50,249516.60,379410.70,674930.18,127776.14
Inter Chunk Latency (ms),65.73,0.00,24303.75,244463365.86,0.00,0.29,1.78,2.32,2.94,3.83,13.85,71.58,1952.30,519.22
Inter Token Latency (ms),18.95,0.00,8888.66,254609.66,0.61,0.85,1.29,5.69,16.82,22.40,31.99,43.21,89.03,80.16
OSL Mismatch Diff % (%),-1.03,-99.85,0.00,-13886.77,-68.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.60
Output Sequence Length (tokens),998.86,1.00,59903.00,13423647.00,10.00,76.00,108.00,187.00,432.00,1016.00,2237.40,3751.10,9186.72,1991.32
Output Token Count (tokens),998.86,1.00,59903.00,13423647.00,10.00,76.00,108.00,187.00,432.00,1016.00,2237.40,3751.10,9186.72,1991.32
Output Token Throughput Per User (tokens/sec/user),1492.86,0.11,2582298.82,20040195.60,11.23,23.14,31.26,44.64,59.40,173.94,769.80,1162.64,1610.56,39406.13
Prefill Throughput Per User (tokens/sec/user),15504.57,7.16,196554.31,208365934.67,86.27,273.70,1049.27,3764.85,8687.38,19076.37,37835.33,55330.20,98990.17,19577.77
Request Latency (ms),30481.59,399.34,1114209.19,409642077.51,2684.17,5578.40,7702.72,13022.08,21166.65,33726.17,56582.27,84400.86,185594.41,38649.93
Time to First Output Token (ms),14919.24,445.59,228233.86,11905557.46,799.78,1791.92,3247.80,7093.04,11465.86,17519.07,26046.08,35835.74,73144.41,17421.27
Time to First Token (ms),12291.00,181.21,284480.41,165178711.65,681.41,1562.95,2738.33,5934.08,10481.02,16414.82,22480.36,27697.36,42911.20,10375.95
Time to Second Token (ms),99.65,0.00,16407.77,1338677.10,0.00,0.30,2.17,3.16,4.39,6.21,47.96,152.11,2991.23,694.56
Tokens In Flight (tokens),16934576.67,0.00,25953243.00,,,,,,18097394.15,,21396008.38,22581537.95,24918895.91,5207061.45
Usage Completion Tokens (tokens),998.86,1.00,59903.00,13423647.00,10.00,76.00,108.00,187.00,432.00,1016.00,2237.40,3751.10,9186.72,1991.32
Usage Prompt Cache Read Tokens (tokens),132286.27,64.00,814848.00,1520366080.00,15344.64,23744.00,29760.00,51264.00,95360.00,153664.00,267187.20,421068.80,680704.00,129789.54
Usage Prompt Tokens (tokens),119004.98,151.00,950587.00,1599307873.00,1111.38,2966.00,8073.00,40883.00,84294.00,145735.50,249516.60,379410.70,674930.18,127776.14
Usage Total Tokens (tokens),120003.83,167.00,959120.00,1612731520.00,1322.76,4068.00,8574.80,41492.00,85341.00,146900.50,250810.20,380285.30,678313.72,128071.71

Metric,Value
Benchmark Duration (sec),3628.48
Input Token Throughput (tokens/sec),439370.20
OSL Mismatch Count,168.00
Output Token Throughput (tokens/sec),3687.81
Overall Usage Prompt Cache Read % (%),95.06
Request Count,13439.00
Request Throughput (requests/sec),3.69
Theoretical Prefix Cache Hit (%),96.45
Total Input Sequence Length (tokens),1599307873.00
Total Output Sequence Length (tokens),13423647.00
Total Output Tokens (tokens),13423647.00
Total Token Throughput (tokens/sec),443058.01
Total Usage Completion Tokens (tokens),13423647.00
Total Usage Prompt Cache Read Tokens (tokens),1520366080.00
Total Usage Prompt Tokens (tokens),1599307873.00
Total Usage Total Tokens (tokens),1612731520.00
