Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2785.15,0.00,2797376.20,,,,,,249.39,,3230.75,3974.91,83391.70,12612.34
Active Decode Throughput Per User (tokens/sec/user),70.05,0.00,154913.60,,,,,,5.96,,88.32,120.42,1872.56,315.85
Active Prefill Throughput (tokens/sec),357501.98,647.73,1026051.66,,,,,,336483.71,,614886.90,692852.76,837349.36,186643.54
Active Prefill Throughput Per User (tokens/sec/user),34018.12,584.62,246150.52,,,,,,28239.26,,59972.52,78287.66,131776.46,23604.73
Active Total Throughput (tokens/sec),355724.12,98.31,1154601.37,,,,,,336584.98,,616658.21,694034.16,839611.67,189833.77
Credit-to-Start Latency (ms),2.18,0.29,116.00,23031.73,0.58,0.74,0.81,0.94,1.12,1.53,2.42,3.80,36.75,6.68
Decode Duration (ms),14780.02,0.00,816849.19,155944007.02,7.57,122.87,731.66,2911.24,6966.35,16368.27,32729.61,54028.08,120551.95,27767.56
E2E Output Token Throughput (tokens/sec/user),42.02,0.07,114.68,443367.79,1.86,8.82,16.84,29.42,42.77,54.14,64.13,71.56,95.98,19.01
Effective Concurrency,55.62,0.00,94.00,,,,,,58.00,,75.00,79.00,85.00,17.07
Effective Decode Concurrency,42.84,0.00,82.00,,,,,,44.00,,60.00,65.00,71.00,14.42
Effective Decode Throughput (tokens/sec),2769.31,0.00,2797376.20,,,,,,244.26,,3226.66,3961.13,83304.46,12578.16
Effective Decode Throughput Per User (tokens/sec/user),69.65,0.00,154913.60,,,,,,5.85,,88.12,120.23,1869.16,314.99
Effective Latency (CO-aware) (ms),19191.62,348.75,821403.14,202490788.27,1734.86,3150.87,4139.19,6466.63,11453.14,21655.33,38810.09,60592.31,130612.10,28394.50
Effective Prefill Concurrency,12.78,0.00,62.00,,,,,,12.00,,22.00,26.00,35.00,8.03
Effective Prefill Throughput (tokens/sec),351642.47,0.00,1026051.66,,,,,,333103.65,,613049.84,691439.54,837349.36,190591.98
Effective Prefill Throughput Per User (tokens/sec/user),33460.55,0.00,246150.52,,,,,,28038.82,,59622.34,78044.58,130661.02,23805.62
Effective Total Throughput (tokens/sec),354411.78,0.00,1154601.37,,,,,,336062.87,,616087.25,694034.16,839611.67,190706.64
Full Decode Duration (ms),14781.08,0.02,816849.49,155955214.70,8.83,126.44,734.42,2911.80,6966.66,16368.64,32729.76,54028.61,120553.08,27767.33
Full-Response Inter Token Latency (ms),16.51,0.00,3842.72,174140.31,0.50,1.35,7.48,12.25,15.56,18.65,22.11,26.73,47.88,39.89
Full-Response Output Token Throughput Per User (tokens/sec/user),264.11,0.26,471464.02,2785035.99,20.88,37.41,45.23,53.62,64.27,81.64,133.72,738.44,2005.96,5545.08
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.86,1.00,16151.00,2699595.00,5.00,15.00,31.00,54.00,119.00,277.00,560.00,942.00,2064.00,494.01
HTTP Chunks Sent,1.00,1.00,1.00,10551.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,100.26,200.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.99
HTTP Connection Overhead (ms),0.02,0.00,100.26,200.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.99
HTTP Connection Reused (ratio),0.98,0.00,1.00,10385.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.12
HTTP Data Received (KB),66.52,1.04,4063.13,701886.75,1.52,4.69,8.38,14.27,31.25,71.79,144.41,241.14,534.69,127.03
HTTP Data Sent (KB),472.64,0.62,3276.11,4986828.80,3.74,11.54,15.45,143.01,301.26,568.88,1055.79,1678.77,2775.62,543.03
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),19189.36,347.23,821401.51,202466901.37,1734.03,3148.04,4138.34,6465.42,11449.50,21653.75,38808.73,60590.89,130610.14,28394.13
HTTP Receiving (ms),14781.57,0.00,816849.22,155960361.30,8.58,126.23,737.21,2914.35,6966.68,16368.36,32729.63,54028.12,120552.01,27767.56
HTTP Sending (ms),0.24,0.05,100.52,2581.25,0.08,0.15,0.18,0.20,0.22,0.23,0.27,0.35,0.75,0.99
HTTP Total Time (ms),19189.38,347.23,821401.51,202467102.03,1734.03,3148.04,4138.34,6465.42,11449.50,21653.75,38808.73,60590.89,130610.14,28394.13
HTTP Waiting (TTFB) (ms),4407.54,208.36,173316.05,46503958.83,485.20,821.77,1236.39,2104.04,3217.91,4922.79,7939.13,11490.32,24743.53,5205.55
Input Sequence Length (tokens),121313.56,151.00,841134.00,1279979386.00,885.50,2966.00,3930.00,36580.50,77219.00,145823.00,271440.00,430769.00,712826.00,139436.97
Inter Chunk Latency (ms),55.83,0.00,11504.57,155944007.02,0.00,0.08,1.31,1.78,2.42,44.00,72.17,158.41,1229.45,243.71
Inter Token Latency (ms),16.40,0.00,3842.54,172906.79,0.48,1.17,7.44,12.24,15.55,18.62,22.06,26.59,47.48,39.50
OSL Mismatch Diff % (%),-2.75,-99.94,0.00,-29002.29,-96.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.03
Output Sequence Length (tokens),956.39,1.00,59903.00,10090884.00,7.00,53.00,107.00,193.00,442.00,1037.00,2098.00,3496.50,7748.00,1857.21
Output Token Count (tokens),956.39,1.00,59903.00,10090884.00,7.00,53.00,107.00,193.00,442.00,1037.00,2098.00,3496.50,7748.00,1857.21
Output Token Throughput Per User (tokens/sec/user),353.60,0.26,677951.15,3727247.23,21.06,37.60,45.33,53.70,64.30,81.67,134.03,829.51,2051.84,9074.98
Prefill Throughput Per User (tokens/sec/user),40183.38,31.76,248297.32,423974871.30,260.91,834.20,1857.22,9398.43,25947.13,55467.14,100368.74,133436.78,187507.95,42756.36
Request Latency (ms),19188.81,347.23,821401.58,202461139.13,1724.96,3145.64,4133.81,6463.83,11449.50,21653.80,38808.75,60590.95,130610.20,28394.36
Time to First Output Token (ms),9693.02,325.40,176386.05,10274603.13,679.25,1337.06,1856.72,2892.23,4648.47,9360.87,22986.60,34587.98,78557.54,15720.00
Time to First Token (ms),4408.79,208.63,173316.43,46517132.11,485.47,822.68,1236.72,2106.18,3218.50,4923.58,7939.97,11490.63,24744.29,5205.67
Time to Second Token (ms),76.50,0.00,6148.91,806603.54,0.00,0.09,1.47,2.40,3.77,55.91,92.57,223.48,1665.26,307.52
Tokens In Flight (tokens),8516071.58,0.00,14201390.29,,,,,,9060733.14,,11411650.34,12090340.07,13350871.81,2823775.19
Usage Completion Tokens (tokens),956.39,1.00,59903.00,10090884.00,7.00,53.00,107.00,193.00,442.00,1037.00,2098.00,3496.50,7748.00,1857.21
Usage Prompt Cache Read Tokens (tokens),137267.34,64.00,839360.00,1228130880.00,14877.44,23744.00,28544.00,47360.00,90688.00,163360.00,284505.60,478156.80,723482.88,142730.01
Usage Prompt Tokens (tokens),121313.56,151.00,841134.00,1279979386.00,885.50,2966.00,3930.00,36580.50,77219.00,145823.00,271440.00,430769.00,712826.00,139436.97
Usage Total Tokens (tokens),122269.95,254.00,841238.00,1290070270.00,1002.50,4032.00,5105.00,37222.50,78155.00,146963.00,272178.00,432893.50,714102.50,139678.95

Metric,Value
Benchmark Duration (sec),3626.57
Input Token Throughput (tokens/sec),351642.47
OSL Mismatch Count,382.00
Output Token Throughput (tokens/sec),2772.22
Overall Usage Prompt Cache Read % (%),95.95
Request Count,10551.00
Request Throughput (requests/sec),2.90
Theoretical Prefix Cache Hit (%),96.60
Total Input Sequence Length (tokens),1279979386.00
Total Output Sequence Length (tokens),10090884.00
Total Output Tokens (tokens),10090884.00
Total Token Throughput (tokens/sec),354414.69
Total Usage Completion Tokens (tokens),10090884.00
Total Usage Prompt Cache Read Tokens (tokens),1228130880.00
Total Usage Prompt Tokens (tokens),1279979386.00
Total Usage Total Tokens (tokens),1290070270.00
