Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),3372.94,0.00,4137237.70,,,,,,146.69,,3271.71,4813.08,92044.26,15963.21
Active Decode Throughput Per User (tokens/sec/user),62.16,0.00,85332.68,,,,,,2.31,,72.98,111.08,1602.37,289.12
Active Prefill Throughput (tokens/sec),423774.01,2684.74,1147071.66,,,,,,413234.97,,695374.65,764756.93,878998.46,201758.47
Active Prefill Throughput Per User (tokens/sec/user),29998.45,2205.40,199882.71,,,,,,24128.82,,52832.30,70966.26,117483.00,20764.11
Active Total Throughput (tokens/sec),421944.44,94.35,2539809.25,,,,,,413883.89,,697623.88,767256.08,882565.52,206004.28
Credit-to-Start Latency (ms),1.92,0.26,125.90,24010.17,0.51,0.62,0.68,0.81,0.99,1.36,2.22,3.68,19.37,5.76
Decode Duration (ms),16996.25,0.00,1002506.45,212946048.63,6.19,85.48,283.39,2766.66,8049.56,18529.08,37963.58,64573.86,149694.75,31858.05
E2E Output Token Throughput (tokens/sec/user),36.99,0.14,127.12,463489.83,1.54,8.02,14.18,24.53,37.24,46.74,58.11,68.11,94.99,18.36
Effective Concurrency,76.72,0.00,134.00,,,,,,77.00,,107.00,113.00,122.00,25.15
Effective Decode Concurrency,58.51,0.00,119.00,,,,,,60.00,,83.00,89.00,100.00,20.51
Effective Decode Throughput (tokens/sec),3357.20,0.00,4137237.70,,,,,,145.58,,3262.28,4784.60,92001.03,15927.58
Effective Decode Throughput Per User (tokens/sec/user),61.87,0.00,85332.68,,,,,,2.29,,72.66,110.99,1600.13,288.48
Effective Latency (CO-aware) (ms),22290.10,342.32,1003768.73,279272725.24,1714.80,3530.47,4732.11,7486.53,13283.28,24529.80,44614.85,70560.84,157363.55,32766.42
Effective Prefill Concurrency,18.21,0.00,94.00,,,,,,17.00,,33.00,38.00,50.00,12.09
Effective Prefill Throughput (tokens/sec),417119.31,0.00,1147071.66,,,,,,408676.32,,694106.73,764013.49,878824.34,206985.63
Effective Prefill Throughput Per User (tokens/sec/user),29527.37,0.00,199882.71,,,,,,23858.05,,52518.87,70595.31,117110.78,20935.32
Effective Total Throughput (tokens/sec),420476.52,0.00,2539809.25,,,,,,412093.18,,697623.88,767256.08,882565.52,207140.90
Full Decode Duration (ms),16998.09,0.03,1002506.71,212969120.84,8.16,89.67,288.37,2768.83,8049.78,18529.15,37963.99,64574.37,149695.47,31857.54
Full-Response Inter Token Latency (ms),18.28,0.00,859.20,228966.26,0.55,0.96,2.13,10.82,17.52,21.22,27.40,35.63,68.24,23.45
Full-Response Output Token Throughput Per User (tokens/sec/user),299.17,1.16,486568.16,3746765.77,14.65,28.07,36.49,47.12,57.07,92.45,470.41,1040.66,1818.10,4953.45
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,263.74,1.00,16147.00,3304460.00,4.00,14.00,30.00,53.00,120.00,280.00,582.20,989.20,2273.00,489.71
HTTP Chunks Sent,1.00,1.00,1.00,12529.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,2.41,67.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.06
HTTP Connection Overhead (ms),0.01,0.00,2.41,67.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.06
HTTP Connection Reused (ratio),0.99,0.00,1.00,12383.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.11
HTTP Data Received (KB),68.10,1.03,4167.82,853264.42,1.51,5.02,8.27,13.89,31.25,72.31,150.58,252.94,580.65,125.83
HTTP Data Sent (KB),472.11,0.57,3689.94,5915091.46,4.52,11.53,17.80,156.84,331.25,586.81,1006.34,1432.75,2635.71,505.17
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),22288.12,339.67,1003767.42,279247848.43,1713.98,3529.66,4731.11,7485.08,13280.61,24525.97,44613.37,70555.34,157362.50,32766.17
HTTP Receiving (ms),16997.90,0.00,1002506.48,212966711.60,7.62,88.91,288.27,2768.71,8049.60,18529.08,37963.63,64573.91,149694.81,31857.50
HTTP Sending (ms),0.20,0.04,9.35,2508.79,0.07,0.13,0.14,0.16,0.18,0.21,0.24,0.30,0.64,0.16
HTTP Total Time (ms),22288.12,339.67,1003767.42,279247916.42,1713.98,3529.66,4731.11,7485.08,13280.61,24525.97,44613.37,70555.34,157362.50,32766.17
HTTP Waiting (TTFB) (ms),5290.02,216.64,247511.23,66278628.04,466.45,851.83,1282.09,2313.17,4153.74,6512.19,9528.97,12654.71,24033.11,6748.60
Input Sequence Length (tokens),121184.03,150.00,950586.00,1518314690.00,1112.28,2965.00,4630.00,40298.00,85063.00,150226.00,258274.20,367878.00,677659.24,129709.13
Inter Chunk Latency (ms),62.81,0.00,11690.26,212946048.63,0.00,0.84,1.63,2.16,2.86,4.15,66.79,149.41,1793.02,359.99
Inter Token Latency (ms),18.05,0.00,773.14,226023.98,0.53,0.92,2.04,10.78,17.51,21.20,27.28,35.36,66.01,21.16
OSL Mismatch Diff % (%),-2.41,-99.96,0.00,-30178.49,-97.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.41
Output Sequence Length (tokens),976.36,1.00,59725.00,12232847.00,7.00,59.00,105.00,188.00,440.00,1039.00,2177.20,3655.60,8412.92,1823.86
Output Token Count (tokens),976.36,1.00,59725.00,12232847.00,7.00,59.00,105.00,188.00,440.00,1039.00,2177.20,3655.60,8412.92,1823.86
Output Token Throughput Per User (tokens/sec/user),1433.09,1.29,2093102.12,17933687.35,15.14,28.27,36.65,47.17,57.11,92.51,483.80,1078.16,1869.42,34984.93
Prefill Throughput Per User (tokens/sec/user),33663.87,11.23,211137.54,421774580.81,233.53,728.18,2106.22,8256.48,22706.16,47660.61,82436.76,106872.84,149739.45,34108.23
Request Latency (ms),22286.86,339.73,1003767.46,279232024.09,1685.40,3527.33,4730.33,7485.10,13280.65,24526.05,44613.43,70555.38,157362.53,32766.80
Time to First Output Token (ms),9515.58,471.82,463664.66,11818345.97,653.53,1111.75,1608.23,2782.37,4934.01,8491.92,16910.08,27256.21,109358.57,21974.46
Time to First Token (ms),5290.60,216.92,247511.45,66285975.46,467.70,852.13,1283.04,2313.53,4155.10,6512.43,9529.25,12655.02,24033.43,6748.59
Time to Second Token (ms),98.77,0.00,11690.26,1236910.13,0.00,0.62,1.90,3.01,4.35,8.61,84.62,252.17,2639.11,518.28
Tokens In Flight (tokens),11710019.12,0.00,17915599.12,,,,,,12502743.03,,14851613.62,15535035.27,17170795.92,3554468.88
Usage Completion Tokens (tokens),976.36,1.00,59725.00,12232847.00,7.00,59.00,105.00,188.00,440.00,1039.00,2177.20,3655.60,8412.92,1823.86
Usage Prompt Cache Read Tokens (tokens),136439.06,64.00,829184.00,1454031040.00,16576.00,23744.00,31040.00,52800.00,98688.00,164736.00,272409.60,410316.80,695938.56,131265.48
Usage Prompt Tokens (tokens),121184.03,150.00,950586.00,1518314690.00,1112.28,2965.00,4630.00,40298.00,85063.00,150226.00,258274.20,367878.00,677659.24,129709.13
Usage Total Tokens (tokens),122160.39,196.00,959119.00,1530547537.00,1427.40,4034.40,5291.20,40764.00,86044.00,151369.00,260116.20,369600.80,679248.48,129965.15

Metric,Value
Benchmark Duration (sec),3627.34
Input Token Throughput (tokens/sec),417119.31
OSL Mismatch Count,376.00
Output Token Throughput (tokens/sec),3360.67
Overall Usage Prompt Cache Read % (%),95.77
Request Count,12529.00
Request Throughput (requests/sec),3.44
Theoretical Prefix Cache Hit (%),96.57
Total Input Sequence Length (tokens),1518314690.00
Total Output Sequence Length (tokens),12232847.00
Total Output Tokens (tokens),12232847.00
Total Token Throughput (tokens/sec),420479.99
Total Usage Completion Tokens (tokens),12232847.00
Total Usage Prompt Cache Read Tokens (tokens),1454031040.00
Total Usage Prompt Tokens (tokens),1518314690.00
Total Usage Total Tokens (tokens),1530547537.00
