Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),3348.01,0.00,9577527.29,,,,,,70.55,,1274.21,3397.25,97644.16,18049.81
Active Decode Throughput Per User (tokens/sec/user),57.38,0.00,129426.04,,,,,,1.08,,34.97,97.22,1590.66,300.43
Active Prefill Throughput (tokens/sec),417300.49,1808.04,711450.56,,,,,,428790.21,,525884.98,553508.27,594903.65,98428.20
Active Prefill Throughput Per User (tokens/sec/user),5256.44,1336.76,127908.27,,,,,,3340.68,,4830.54,19424.63,42496.23,7900.88
Active Total Throughput (tokens/sec),420104.79,80.87,4795191.01,,,,,,432133.31,,529374.23,556651.18,598207.87,99695.95
Credit-to-Start Latency (ms),2.66,0.27,358.76,32968.51,0.54,0.71,0.79,0.92,1.12,1.60,2.62,4.99,40.53,10.82
Decode Duration (ms),18382.67,0.00,1064619.80,227724514.58,3.96,74.36,154.27,851.84,8989.73,19174.39,43085.19,71610.75,166417.28,37451.40
E2E Output Token Throughput (tokens/sec/user),17.33,0.02,116.36,214686.03,0.40,1.70,2.83,5.46,11.75,24.24,39.65,51.02,76.87,16.47
Effective Concurrency,184.22,0.00,249.00,,,,,,198.00,,225.00,231.00,239.00,51.81
Effective Decode Concurrency,62.56,0.00,116.00,,,,,,64.00,,85.00,92.00,105.00,19.45
Effective Decode Throughput (tokens/sec),3331.51,0.00,9577527.29,,,,,,70.15,,1270.00,3383.69,97601.65,18006.78
Effective Decode Throughput Per User (tokens/sec/user),57.10,0.00,129426.04,,,,,,1.07,,34.34,96.74,1588.73,299.72
Effective Latency (CO-aware) (ms),54133.38,325.48,1068033.81,670604318.91,3204.96,7716.91,16732.53,28149.79,41478.39,64615.04,99821.90,137646.75,253206.73,49467.79
Effective Prefill Concurrency,121.66,0.00,188.00,,,,,,130.00,,163.00,170.00,180.00,42.14
Effective Prefill Throughput (tokens/sec),415272.94,0.00,711450.56,,,,,,428179.08,,525371.77,552957.66,594903.65,102386.66
Effective Prefill Throughput Per User (tokens/sec/user),5230.90,0.00,127908.27,,,,,,3335.37,,4826.60,19340.22,42391.38,7890.13
Effective Total Throughput (tokens/sec),418604.49,0.00,4795191.01,,,,,,431548.42,,529169.59,556530.20,598207.87,102624.64
Full Decode Duration (ms),18383.49,0.06,1064620.08,227734668.00,7.85,75.27,155.06,852.96,8990.84,19175.21,43086.00,71611.64,166418.08,37451.45
Full-Response Inter Token Latency (ms),19.65,0.00,9258.31,243324.41,0.50,0.78,1.03,4.14,16.37,23.83,36.72,50.68,94.14,86.20
Full-Response Output Token Throughput Per User (tokens/sec/user),669.56,0.11,779900.84,8291107.72,10.62,19.73,27.23,41.97,61.08,241.65,972.38,1283.00,1987.52,9939.78
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,259.00,1.00,15806.00,3208512.00,4.00,20.00,31.00,51.00,110.00,256.00,582.00,993.00,2276.91,525.88
HTTP Chunks Sent,1.00,1.00,1.00,12388.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,35.34,103.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37
HTTP Connection Overhead (ms),0.01,0.00,35.34,103.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37
HTTP Connection Reused (ratio),0.99,0.00,1.00,12291.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.09
HTTP Data Received (KB),67.24,1.04,4104.67,833004.06,1.99,6.56,8.48,13.70,28.48,66.00,153.41,253.68,594.37,135.88
HTTP Data Sent (KB),475.47,0.57,3344.32,5890106.62,3.12,11.83,90.34,169.52,320.69,572.76,1041.45,1566.25,2443.21,502.47
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),54130.63,323.86,1068032.30,670570302.50,3196.38,7715.82,16731.12,28147.60,41477.21,64613.98,99820.88,137645.82,253206.09,49466.83
HTTP Receiving (ms),18382.93,0.00,1064619.85,227727756.85,4.94,74.83,154.43,851.89,8989.76,19174.47,43114.48,71610.79,166417.35,37451.39
HTTP Sending (ms),0.24,0.05,36.14,2924.29,0.08,0.15,0.16,0.20,0.22,0.24,0.27,0.30,0.70,0.44
HTTP Total Time (ms),54130.64,323.86,1068032.30,670570405.61,3196.38,7715.82,16731.12,28147.60,41477.21,64613.98,99820.88,137645.82,253206.23,49466.83
HTTP Waiting (TTFB) (ms),35747.47,200.18,424649.07,442839621.36,1153.75,2571.67,9120.75,19304.04,29407.77,42982.71,66616.62,86201.21,150088.31,30281.89
Input Sequence Length (tokens),122020.85,150.00,860494.00,1511594280.00,727.87,2968.00,23438.70,43530.50,82274.00,147067.25,267656.40,401886.90,625509.32,128914.17
