Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2502.30,0.00,2447148.42,,,,,,282.32,,2960.13,3674.45,77951.86,11260.58
Active Decode Throughput Per User (tokens/sec/user),69.75,0.00,173352.96,,,,,,7.79,,86.76,113.63,1826.49,323.28
Active Prefill Throughput (tokens/sec),302290.74,3534.47,937157.19,,,,,,294469.89,,438238.61,493889.47,612344.06,108004.25
Active Prefill Throughput Per User (tokens/sec/user),6216.06,968.88,132254.50,,,,,,4340.19,,11638.58,16951.33,30290.60,6266.93
Active Total Throughput (tokens/sec),304213.89,59.60,1800416.45,,,,,,296740.80,,441249.90,496435.95,615033.04,108908.41
Credit-to-Start Latency (ms),2.04,0.33,107.67,19499.88,0.56,0.70,0.77,0.91,1.11,1.48,2.28,3.78,19.61,5.80
Decode Duration (ms),14841.35,0.00,870707.26,141527160.89,9.46,180.26,1024.19,2806.62,6813.89,15806.94,32057.03,56687.55,127924.76,28618.00
E2E Output Token Throughput (tokens/sec/user),25.68,0.01,135.02,244841.17,0.38,1.97,3.62,9.63,21.59,39.19,52.77,60.75,78.75,19.26
Effective Concurrency,103.84,0.00,151.00,,,,,,114.00,,135.00,142.00,147.00,31.49
Effective Decode Concurrency,38.88,0.00,92.00,,,,,,40.00,,58.00,62.00,69.00,15.16
Effective Decode Throughput (tokens/sec),2491.04,0.00,2447148.42,,,,,,278.77,,2955.86,3666.71,77872.98,11236.46
Effective Decode Throughput Per User (tokens/sec/user),69.44,0.00,173352.96,,,,,,7.69,,86.63,113.40,1823.18,322.58
Effective Latency (CO-aware) (ms),39637.83,1185.85,874051.52,377986353.27,3723.29,5786.44,7387.79,12325.35,24945.78,51612.60,88625.15,118072.20,206526.35,44001.98
Effective Prefill Concurrency,64.95,0.00,127.00,,,,,,69.00,,95.00,103.00,117.00,26.61
Effective Prefill Throughput (tokens/sec),300860.78,0.00,937157.19,,,,,,294100.66,,438104.91,493765.34,612145.49,109726.73
Effective Prefill Throughput Per User (tokens/sec/user),6186.65,0.00,132254.50,,,,,,4328.90,,11612.97,16886.14,30124.67,6266.63
Effective Total Throughput (tokens/sec),303351.82,0.00,1800416.45,,,,,,296439.65,,441158.60,496435.95,614834.47,109949.72
Full Decode Duration (ms),14842.24,0.03,870707.54,141535593.94,10.56,180.69,1024.42,2806.74,6814.08,15807.54,32057.36,56688.35,127925.52,28617.93
Full-Response Inter Token Latency (ms),16.21,0.00,548.66,154521.21,0.49,1.83,8.61,12.63,15.92,18.34,21.75,26.55,48.42,11.96
Full-Response Output Token Throughput Per User (tokens/sec/user),291.02,1.82,550891.92,2773971.22,20.65,37.66,45.97,54.52,62.82,79.17,116.09,546.44,2058.57,7584.52
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,259.88,1.00,16117.00,2478255.00,5.00,20.75,32.00,52.00,117.00,274.00,562.00,968.25,2261.85,497.75
