Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Full Decode Duration (ms),18720.35,0.03,1139368.64,249074198.84,8.77,78.88,166.35,955.34,8881.97,18926.36,44087.86,73311.42,169643.20,38785.32
Full-Response Inter Token Latency (ms),19.48,0.00,1216.79,259112.33,0.62,0.87,1.19,4.53,16.47,24.09,36.55,51.60,101.13,29.49
Full-Response Output Token Throughput Per User (tokens/sec/user),638.04,0.82,1965005.47,8485895.68,9.89,19.38,27.36,41.52,60.72,220.76,842.29,1149.02,1625.31,18069.97
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,260.60,1.00,15580.00,3467343.00,5.00,20.00,31.00,52.00,111.00,254.00,586.00,995.00,2386.72,526.44
HTTP Chunks Sent,1.00,1.00,1.00,13305.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.83,32.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
HTTP Connection Overhead (ms),0.00,0.00,0.83,32.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
HTTP Connection Reused (ratio),0.99,0.00,1.00,13232.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.07
HTTP Data Received (KB),67.65,1.04,4350.65,900050.76,1.76,6.38,8.39,13.74,28.84,66.02,151.82,255.74,611.72,137.23
HTTP Data Sent (KB),476.02,0.57,3326.28,6333388.35,3.12,11.81,90.05,171.71,325.20,573.87,1027.25,1560.20,2471.26,499.88
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),48234.08,406.30,1142025.16,641754470.75,2791.66,7731.41,16932.13,27494.39,37242.85,55370.95,85599.29,117187.73,225823.77,45360.45
HTTP Receiving (ms),18720.55,0.00,1139368.36,249076918.79,6.76,78.43,166.13,954.83,8885.88,18925.47,44085.07,73310.45,169642.39,38785.10
HTTP Sending (ms),0.20,0.05,9.94,2717.56,0.08,0.14,0.15,0.17,0.19,0.22,0.24,0.27,0.61,0.14
HTTP Total Time (ms),48234.09,406.30,1142025.16,641754502.97,2791.66,7731.41,16932.13,27494.39,37242.85,55370.95,85599.29,117187.73,225823.77,45360.45
HTTP Waiting (TTFB) (ms),29513.33,181.40,281787.16,392674834.39,888.28,1983.77,9893.67,18982.39,26457.65,34413.75,50776.43,63991.75,108420.94,21293.01
Input Sequence Length (tokens),122152.69,150.00,855749.00,1625241597.00,728.00,2967.00,23437.00,43980.00,83569.00,147346.00,263853.00,400834.20,633639.36,128241.22
Inter Chunk Latency (ms),69.08,0.00,24959.87,249060480.31,0.00,0.02,1.84,2.43,2.98,3.61,5.71,50.41,2068.64,573.73
Inter Token Latency (ms),19.44,0.00,1216.68,258536.22,0.60,0.86,1.16,4.50,16.46,24.08,36.51,51.39,101.13,29.09
OSL Mismatch Diff % (%),-0.90,-99.92,0.00,-11975.56,-39.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.98
Output Sequence Length (tokens),978.40,1.00,59903.00,13017650.00,10.00,78.00,108.00,187.00,408.00,955.00,2225.60,3734.80,9038.48,2002.98
Output Token Count (tokens),978.40,1.00,59903.00,13017650.00,10.00,78.00,108.00,187.00,408.00,955.00,2225.60,3734.80,9038.48,2002.98
Output Token Throughput Per User (tokens/sec/user),3370.57,0.82,2498353.36,44794809.43,9.89,19.42,27.39,41.52,60.71,220.41,857.38,1164.12,1638.98,53970.98
Prefill Throughput Per User (tokens/sec/user),7736.65,4.79,164248.54,102936193.53,40.09,146.22,622.45,1595.08,3546.14,7264.38,16437.42,30852.27,82067.99,14237.12
Request Latency (ms),48233.77,406.35,1142025.21,641750364.83,2791.71,7731.46,16932.17,27494.43,37242.88,55370.99,85599.34,117187.77,225823.82,45360.38
Time to First Output Token (ms),32545.44,499.85,196535.43,24994901.65,1296.20,3109.06,11436.21,20363.33,28455.70,39347.43,56978.40,71239.76,121200.26,23512.83
Time to First Token (ms),29514.46,181.69,281787.68,392689884.52,888.54,1983.92,9893.91,18987.85,26458.07,34413.96,50776.65,63992.07,108421.28,21292.74
Time to Second Token (ms),122.06,0.00,19302.14,1623353.31,0.00,0.16,2.28,3.33,4.48,5.86,36.01,108.50,4224.37,876.25
Tokens In Flight (tokens),26738607.56,0.00,36132995.80,,,,,,28917871.97,,32265146.25,33415771.48,34960227.56,7908448.64
Usage Completion Tokens (tokens),978.40,1.00,59903.00,13017650.00,10.00,78.00,108.00,187.00,408.00,955.00,2225.60,3734.80,9038.48,2002.98
Usage Prompt Cache Read Tokens (tokens),132479.17,64.00,853120.00,1513574464.00,17664.00,23744.00,30080.00,50304.00,92288.00,154112.00,278323.20,424384.00,641088.00,129858.15
Usage Prompt Tokens (tokens),122152.69,150.00,855749.00,1625241597.00,728.00,2967.00,23437.00,43980.00,83569.00,147346.00,263853.00,400834.20,633639.36,128241.22
Usage Total Tokens (tokens),123131.10,169.00,856371.00,1638259247.00,1009.12,4264.40,23682.40,44445.00,84363.00,148353.00,265117.00,401417.00,634938.48,128605.85

Metric,Value
Benchmark Duration (sec),3629.60
Input Token Throughput (tokens/sec),446494.68
OSL Mismatch Count,141.00
Output Token Throughput (tokens/sec),3576.28
Overall Usage Prompt Cache Read % (%),93.13
Request Count,13305.00
Request Throughput (requests/sec),3.66
Theoretical Prefix Cache Hit (%),96.50
Total Input Sequence Length (tokens),1625241597.00
Total Output Sequence Length (tokens),13017650.00
Total Output Tokens (tokens),13017650.00
Total Token Throughput (tokens/sec),450070.95
Total Usage Completion Tokens (tokens),13017650.00
Total Usage Prompt Cache Read Tokens (tokens),1513574464.00
Total Usage Prompt Tokens (tokens),1625241597.00
Total Usage Total Tokens (tokens),1638259247.00
