Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1171.04,0.00,2467170.20,,,,,,281.99,,1648.28,2214.99,22409.25,6102.51
Active Decode Throughput Per User (tokens/sec/user),107.37,0.00,830836.07,,,,,,35.32,,138.69,162.86,1511.86,580.61
Active Prefill Throughput (tokens/sec),117434.18,1.78,399397.44,,,,,,112579.42,,197212.58,210490.11,281803.92,60408.70
Active Prefill Throughput Per User (tokens/sec/user),893.24,1.78,12861.76,,,,,,485.98,,959.44,4753.99,7975.32,1520.34
Active Total Throughput (tokens/sec),118545.98,117.28,401879.26,,,,,,113805.67,,198845.26,212883.54,284258.61,60921.51
Decode Duration (error-adjusted) (ms),,0.00,,,6.56,317.83,961.63,2195.29,4932.17,11032.82,24011.59,40668.10,106051.09,
Full Decode Duration (error-adjusted) (ms),,0.02,,,6.71,318.08,962.81,2195.62,4933.21,11032.96,24013.38,40669.06,106051.58,
Full-Response Inter Token Latency (error-adjusted) (ms),,0.00,,,0.35,5.03,7.52,9.21,11.25,13.62,15.89,17.99,44.13,
Inter Token Latency (error-adjusted) (ms),,0.00,,,0.34,5.03,7.49,9.21,11.24,13.61,15.83,17.93,43.55,
Request Latency (error-adjusted) (ms),,488.31,,,4415.76,7572.23,15649.26,57932.75,145429.97,265487.05,461652.58,606989.03,838577.04,
Time to First Token (error-adjusted) (ms),,291.26,,,2591.98,3766.06,7528.13,47325.76,133439.37,252335.98,451744.10,596165.91,812012.98,
Credit-to-Start Latency (ms),2.45,0.28,310.33,10664.02,0.50,0.62,0.68,0.80,0.97,1.40,2.33,4.54,38.35,9.96
Decode Duration (ms),10689.34,0.00,561643.47,46381027.64,6.50,314.55,960.73,2184.31,4895.64,10771.94,23378.77,37695.06,88519.28,22687.65
E2E Output Token Throughput (tokens/sec/user),11.10,0.00,105.00,48145.19,0.05,0.26,0.48,1.37,3.92,13.15,33.03,47.92,78.93,16.67
Effective Concurrency,238.26,0.00,319.00,,,,,,267.00,,304.00,309.00,314.00,79.89
Effective Decode Concurrency,12.74,0.00,53.00,,,,,,10.00,,28.00,34.00,45.00,10.37
Effective Decode Throughput (tokens/sec),1141.03,0.00,2467170.20,,,,,,258.15,,1627.04,2196.23,18692.28,6026.65
Effective Decode Throughput Per User (tokens/sec/user),104.62,0.00,830836.07,,,,,,24.95,,138.09,162.41,1298.46,573.37
Effective Latency (CO-aware) (ms),199049.89,489.89,2314442.98,867260359.44,4411.98,7567.76,15631.10,57969.48,145430.77,265488.32,461799.12,607249.61,839116.59,211832.26
Effective Prefill Concurrency,215.88,0.00,293.00,,,,,,243.00,,271.00,280.00,286.00,75.71
Effective Prefill Throughput (tokens/sec),117064.69,0.00,399397.44,,,,,,112392.25,,197164.23,210474.68,281803.92,60671.11
Effective Prefill Throughput Per User (tokens/sec/user),890.43,0.00,12861.76,,,,,,484.43,,959.44,4743.59,7975.32,1518.77
Effective Total Throughput (tokens/sec),118205.71,0.00,401879.26,,,,,,113643.30,,198787.45,212812.03,284197.06,61163.71
Error Input Sequence Length (tokens),492626.50,30680.00,825261.00,8867277.00,31406.75,34313.75,38768.60,456507.25,577714.50,673052.75,704891.40,747263.30,809661.46,247819.04
Full Decode Duration (ms),10690.04,0.02,561643.72,46384069.97,6.69,317.78,961.17,2184.48,4895.95,10772.49,23379.27,37696.08,88519.79,22687.61
Full-Response Inter Token Latency (ms),11.92,0.00,734.62,51661.90,0.35,4.96,7.49,9.21,11.23,13.57,15.75,17.73,34.76,12.97
Full-Response Output Token Throughput Per User (tokens/sec/user),285.38,1.36,426540.28,1237122.48,28.77,56.40,63.50,73.67,89.05,108.60,133.43,201.44,2836.06,6516.14
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,264.18,1.00,16506.00,1146264.00,6.00,22.00,32.00,57.00,118.00,261.50,557.00,931.70,2256.10,615.41
HTTP Chunks Sent,1.00,1.00,1.00,4339.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.32,0.00,229.54,1407.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.84,6.59
HTTP Connection Overhead (ms),0.32,0.00,229.54,1407.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.84,6.59
HTTP Connection Reused (ratio),0.92,0.00,1.00,3992.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.27
HTTP Data Received (KB),66.70,1.04,4291.35,289414.35,1.75,6.16,8.47,14.66,29.84,65.73,139.50,232.00,567.70,155.52
HTTP Data Sent (KB),382.64,0.57,3233.79,1660292.99,2.59,11.63,37.54,118.60,243.21,469.00,922.87,1310.34,2096.65,418.15
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),191794.15,488.28,971022.09,832194805.13,4409.43,7544.13,15498.00,57846.78,144539.75,263581.61,455383.65,596916.05,790425.39,179597.73
HTTP Receiving (ms),10690.90,0.00,561643.51,46387816.76,6.80,317.65,960.77,2186.10,4895.70,10771.97,23378.80,37695.09,88519.31,22687.64
HTTP Sending (ms),0.53,0.05,230.00,2288.79,0.08,0.14,0.15,0.17,0.20,0.23,0.31,0.60,1.13,6.61
HTTP Total Time (ms),191794.47,488.28,971022.45,832196213.11,4409.43,7544.49,15498.00,57846.78,144539.75,263581.61,455383.65,596916.05,790425.39,179597.75
HTTP Waiting (TTFB) (ms),181102.72,291.06,901086.41,785804699.57,2591.70,3761.14,7514.91,46818.23,132823.22,250756.89,443826.78,584194.46,777809.87,178137.54
Input Sequence Length (tokens),98205.96,150.00,832048.00,426115648.00,664.00,2967.00,9623.00,30250.50,62545.00,120308.50,237112.00,337657.10,536208.08,107279.32
Inter Chunk Latency (ms),40.23,0.00,11704.13,46381027.64,0.00,0.40,0.58,1.00,2.65,37.46,53.58,87.29,579.60,162.15
Inter Token Latency (ms),11.87,0.00,734.20,51449.98,0.34,4.96,7.48,9.20,11.22,13.56,15.70,17.69,32.23,12.87
OSL Mismatch Diff % (%),-0.77,-99.70,0.00,-3329.48,-13.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.97
Output Sequence Length (tokens),958.22,1.00,59903.00,4157698.00,10.00,75.00,109.00,197.50,420.00,950.00,2028.80,3396.10,8311.72,2244.44
Output Token Count (tokens),958.22,1.00,59903.00,4157698.00,10.00,75.00,109.00,197.50,420.00,950.00,2028.80,3396.10,8311.72,2244.44
Output Token Throughput Per User (tokens/sec/user),219.67,1.36,164488.56,951832.89,31.02,56.53,63.71,73.72,89.12,108.68,133.47,197.76,2919.52,2555.67
