Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2772.95,0.00,3085855.12,,,,,,213.57,,3159.49,3939.71,83842.98,12757.82
Active Decode Throughput Per User (tokens/sec/user),67.81,0.00,137493.36,,,,,,4.82,,83.20,112.80,1862.08,310.12
Active Prefill Throughput (tokens/sec),367043.22,273.26,1132770.46,,,,,,348286.50,,636069.76,716310.19,839916.08,195170.71
Active Prefill Throughput Per User (tokens/sec/user),47478.73,272.71,255596.65,,,,,,39564.04,,86331.10,112360.49,162464.91,31369.72
Active Total Throughput (tokens/sec),359403.46,81.20,2902728.68,,,,,,343520.38,,636395.51,715956.15,838513.07,201901.41
Credit-to-Start Latency (ms),2.05,0.27,108.85,21802.27,0.53,0.66,0.72,0.82,1.00,1.41,2.24,3.56,33.59,6.47
Decode Duration (ms),15000.92,0.00,839478.84,159624807.48,4.50,89.05,527.83,2915.59,7193.96,16707.34,32809.02,55440.84,126007.23,28107.40
E2E Output Token Throughput (tokens/sec/user),43.80,0.10,113.17,466033.66,1.90,10.07,19.17,32.30,45.11,54.96,65.68,72.43,92.67,18.45
Effective Concurrency,53.68,0.00,95.00,,,,,,55.00,,74.00,78.00,85.00,17.07
Effective Decode Concurrency,43.86,0.00,85.00,,,,,,44.00,,63.00,67.00,76.00,15.15
Effective Decode Throughput (tokens/sec),2761.02,0.00,3085855.12,,,,,,212.00,,3155.40,3927.49,83779.92,12731.64
Effective Decode Throughput Per User (tokens/sec/user),67.52,0.00,137493.36,,,,,,4.77,,82.99,112.58,1859.41,309.48
Effective Latency (CO-aware) (ms),18364.45,335.42,840637.31,195416152.93,1264.50,2657.33,3534.08,5780.41,10453.52,20614.28,37098.90,59832.55,132531.91,28502.85
Effective Prefill Concurrency,9.82,0.00,58.00,,,,,,8.00,,19.00,23.00,37.00,7.65
Effective Prefill Throughput (tokens/sec),355568.64,0.00,1132770.46,,,,,,339740.50,,633390.27,712247.10,835966.14,202437.10
Effective Prefill Throughput Per User (tokens/sec/user),45994.44,0.00,255596.65,,,,,,38765.23,,85349.94,111012.49,161248.06,31961.92
Effective Total Throughput (tokens/sec),358329.67,0.00,2902728.68,,,,,,342723.01,,636296.31,715106.24,838342.15,202551.62
Full Decode Duration (ms),15002.51,0.02,839479.17,159641724.17,6.42,94.33,540.52,2916.33,7194.53,16707.95,32809.76,55441.23,126007.88,28107.03
Full-Response Inter Token Latency (ms),16.80,0.00,567.72,178670.25,0.47,1.12,6.04,12.42,16.02,19.17,23.15,29.03,56.99,16.72
Full-Response Output Token Throughput Per User (tokens/sec/user),391.55,1.76,768535.26,4164170.19,17.55,34.45,43.19,52.16,62.43,80.54,165.64,893.02,2107.81,9002.29
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.83,1.00,16312.00,2722330.00,4.00,10.00,30.00,53.00,119.00,279.00,556.00,951.00,2049.80,492.58
HTTP Chunks Sent,1.00,1.00,1.00,10641.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,2.11,72.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.06
HTTP Connection Overhead (ms),0.01,0.00,2.11,72.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.06
