Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),966.39,0.00,1825965.63,,,,,,291.75,,1467.77,1788.25,6561.57,4936.87
Active Decode Throughput Per User (tokens/sec/user),118.98,0.00,383747.28,,,,,,65.87,,163.12,168.53,616.34,618.58
Active Prefill Throughput (tokens/sec),84519.01,29.96,350261.30,,,,,,92981.41,,137438.16,145193.01,220000.75,50856.01
Active Prefill Throughput Per User (tokens/sec/user),413.13,29.96,4743.91,,,,,,308.91,,522.33,1544.97,2863.72,505.89
Active Total Throughput (tokens/sec),85261.00,144.08,367725.49,,,,,,94089.87,,138541.43,146644.25,221854.73,51362.16
Decode Duration (error-adjusted) (ms),,0.00,,,5.25,199.98,946.68,1916.55,4193.70,9203.27,20013.20,36634.08,,
Full Decode Duration (error-adjusted) (ms),,0.22,,,6.20,200.82,946.93,1916.67,4193.98,9203.36,20013.35,36635.02,,
Full-Response Inter Token Latency (error-adjusted) (ms),,0.03,,,0.22,5.13,7.05,8.72,10.21,11.92,14.09,16.55,,
Inter Token Latency (error-adjusted) (ms),,0.00,,,0.21,5.11,7.04,8.71,10.20,11.90,14.07,16.50,,
Request Latency (error-adjusted) (ms),,377.47,,,7758.23,20725.39,42217.98,106472.92,169698.15,289038.14,553741.68,847459.01,,
Time to First Token (error-adjusted) (ms),,307.70,,,3313.98,14686.67,33830.21,99484.65,161208.39,279690.33,540204.38,820324.12,,
Credit-to-Start Latency (ms),3.36,0.29,611.88,12472.77,0.51,0.63,0.69,0.80,0.96,1.35,2.46,6.40,64.00,19.72
Decode Duration (ms),8818.63,0.00,486576.33,32267377.52,5.22,196.83,936.89,1892.43,4114.22,8833.20,17977.77,29958.91,78788.99,18974.95
E2E Output Token Throughput (tokens/sec/user),6.87,0.00,108.03,25148.48,0.04,0.20,0.41,1.03,2.57,6.63,17.36,30.81,62.31,11.97
Effective Concurrency,278.71,0.00,410.00,,,,,,357.00,,397.00,401.00,408.00,136.73
Effective Decode Concurrency,8.86,0.00,42.00,,,,,,7.00,,19.00,23.00,30.00,7.37
Effective Decode Throughput (tokens/sec),877.97,0.00,1825965.63,,,,,,179.14,,1418.80,1753.70,5049.94,4713.85
Effective Decode Throughput Per User (tokens/sec/user),108.09,0.00,383747.28,,,,,,46.80,,161.70,167.76,477.42,590.60
Effective Latency (CO-aware) (ms),273453.16,378.54,2663995.82,1014511227.41,7761.62,20757.58,42209.67,106514.26,169807.11,289018.91,553805.40,846675.09,1956498.44,345298.58
Effective Prefill Concurrency,240.08,0.00,357.00,,,,,,305.00,,335.00,340.00,352.00,113.94
Effective Prefill Throughput (tokens/sec),84085.52,0.00,350261.30,,,,,,92523.24,,137304.26,145054.86,220000.75,51083.45
Effective Prefill Throughput Per User (tokens/sec/user),411.01,0.00,4743.91,,,,,,305.58,,522.33,1538.77,2863.72,505.46
Effective Total Throughput (tokens/sec),84963.50,0.00,367725.49,,,,,,93590.62,,138519.74,146433.11,221854.73,51518.37
Error Input Sequence Length (tokens),396553.80,25730.00,825262.00,20224244.00,27750.00,33613.00,35647.00,297633.50,387226.00,551143.50,676005.00,726660.00,796000.00,220451.32
Full Decode Duration (ms),8819.31,0.22,486576.70,32269837.69,6.20,199.67,937.05,1893.10,4115.74,8833.78,17978.09,29959.64,78789.60,18975.19
Full-Response Inter Token Latency (ms),10.71,0.03,378.18,39139.25,0.22,5.09,7.03,8.69,10.18,11.80,13.82,15.62,26.04,9.73
Full-Response Output Token Throughput Per User (tokens/sec/user),230.78,2.64,31148.77,843499.20,38.42,64.01,72.34,84.73,98.24,115.13,142.27,196.43,4601.63,1011.73
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,241.38,1.00,16275.00,883226.00,4.00,20.90,32.00,55.00,113.00,244.00,485.60,825.20,1900.04,544.26
HTTP Chunks Sent,1.00,1.00,1.00,3659.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.38,0.00,115.12,1394.01,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.44,7.34,4.53
HTTP Connection Overhead (ms),0.38,0.00,115.12,1394.01,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.44,7.34,4.53
HTTP Connection Reused (ratio),0.89,0.00,1.00,3258.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.31
HTTP Data Received (KB),60.81,1.04,4073.48,222511.19,1.52,5.94,8.47,14.06,28.70,61.74,121.75,205.55,473.41,136.04
HTTP Data Sent (KB),325.92,0.61,2717.72,1192538.70,3.66,11.69,38.53,114.74,217.76,434.07,707.52,962.09,1484.78,323.29
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),247651.72,377.48,1819542.11,906157634.70,7752.54,20571.18,41535.19,105928.55,168519.24,281352.35,525053.32,752267.74,1648586.63,268017.96
HTTP Receiving (ms),8820.43,0.00,486576.38,32273955.90,5.72,199.18,936.96,1892.48,4123.37,8833.22,17977.80,29958.94,78789.45,18975.18
HTTP Sending (ms),0.60,0.05,115.64,2194.31,0.07,0.14,0.15,0.17,0.20,0.23,0.54,0.65,9.09,4.60
HTTP Total Time (ms),247652.10,377.48,1819542.11,906159028.71,7752.54,20571.18,41535.19,105928.55,168519.24,281352.35,525053.32,752267.74,1648586.63,268018.04
HTTP Waiting (TTFB) (ms),238830.69,307.40,1806042.98,873881484.49,3292.95,14456.93,33223.26,98551.14,159511.16,273210.12,510119.69,745538.50,1633148.64,267033.53
Input Sequence Length (tokens),83648.92,151.00,695388.00,306071404.00,903.20,2967.00,9750.60,29272.00,55774.00,111137.00,181666.20,246721.30,382473.26,82999.96
Inter Chunk Latency (ms),36.41,0.00,16748.84,32267377.52,0.00,0.38,0.54,0.84,21.71,35.89,51.06,76.20,504.58,144.77
Inter Token Latency (ms),10.68,0.00,377.94,39026.63,0.21,5.02,7.00,8.68,10.18,11.79,13.78,15.56,24.41,9.70
OSL Mismatch Diff % (%),-1.04,-99.58,0.00,-3789.90,-54.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.28
Output Sequence Length (tokens),874.42,1.00,59725.00,3199501.00,8.00,70.00,108.80,189.50,405.00,883.50,1769.40,3006.90,6969.00,1990.69
Output Token Count (tokens),874.42,1.00,59725.00,3199501.00,8.00,70.00,108.80,189.50,405.00,883.50,1769.40,3006.90,6969.00,1990.69
Output Token Throughput Per User (tokens/sec/user),288.52,2.65,243980.54,1053958.50,40.95,64.27,72.56,84.82,98.26,115.18,142.41,196.77,4750.06,4106.12
