Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2528.07,0.00,2332080.63,,,,,,350.63,,2972.74,3623.29,76491.83,11039.54
Active Decode Throughput Per User (tokens/sec/user),72.16,0.00,109552.62,,,,,,9.68,,91.09,118.51,1920.51,314.60
Active Prefill Throughput (tokens/sec),312259.84,2317.07,950752.04,,,,,,299765.25,,489715.49,556767.21,641428.19,132000.97
Active Prefill Throughput Per User (tokens/sec/user),15159.01,1657.70,207422.55,,,,,,11809.70,,25960.22,33603.90,74270.01,13785.82
Active Total Throughput (tokens/sec),312208.98,90.91,1530190.94,,,,,,300939.19,,491557.16,558667.49,643629.88,134551.13
Credit-to-Start Latency (ms),2.04,0.28,123.52,19329.57,0.55,0.67,0.72,0.84,1.01,1.44,2.26,3.67,31.58,6.23
Decode Duration (ms),14477.42,0.00,810562.10,137289374.91,6.46,176.36,964.69,2866.27,6885.82,15960.70,31722.97,52590.52,122413.78,27797.11
E2E Output Token Throughput (tokens/sec/user),34.39,0.03,115.40,326106.09,0.82,4.23,8.35,18.51,33.62,48.59,60.52,67.18,87.15,19.98
Effective Concurrency,63.99,0.00,105.00,,,,,,67.00,,83.00,88.00,97.00,18.70
Effective Decode Concurrency,37.72,0.00,84.00,,,,,,37.00,,55.00,61.00,73.00,13.92
Effective Decode Throughput (tokens/sec),2512.54,0.00,2332080.63,,,,,,342.28,,2967.61,3608.52,76381.13,11007.35
Effective Decode Throughput Per User (tokens/sec/user),71.71,0.00,109552.62,,,,,,9.50,,90.81,118.34,1915.82,313.69
Effective Latency (CO-aware) (ms),24564.15,446.72,812597.48,232941860.84,2835.09,4401.43,5600.42,9175.79,16234.08,29044.53,51100.49,70142.60,140659.00,30462.72
Effective Prefill Concurrency,26.27,0.00,65.00,,,,,,27.00,,42.00,47.00,56.00,12.69
Effective Prefill Throughput (tokens/sec),308778.44,0.00,950752.04,,,,,,297835.21,,488697.28,555549.49,641428.19,135295.88
Effective Prefill Throughput Per User (tokens/sec/user),14990.00,0.00,207422.55,,,,,,11732.97,,25834.57,33377.00,73945.68,13800.84
Effective Total Throughput (tokens/sec),311291.00,0.00,1530190.94,,,,,,300439.14,,491400.25,558538.88,643629.88,135412.47
Full Decode Duration (ms),14478.36,0.03,810562.35,137298260.16,7.23,178.54,965.18,2867.31,6886.15,15961.79,31723.29,52590.97,122415.41,27797.16
Full-Response Inter Token Latency (ms),15.52,0.00,599.33,147057.63,0.47,2.22,8.34,12.17,14.89,17.96,21.28,24.87,42.18,13.23
