Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),283.82,0.00,811349.07,,,,,,247.99,,483.29,554.22,698.20,1306.16
Active Decode Throughput Per User (tokens/sec/user),99.31,0.00,628152.52,,,,,,103.83,,120.09,126.44,137.52,533.37
Active Prefill Throughput (tokens/sec),25575.22,3434.40,151351.55,,,,,,21190.68,,46605.56,59448.08,87416.93,16198.75
Active Prefill Throughput Per User (tokens/sec/user),11654.13,2582.07,71829.20,,,,,,8498.50,,20411.96,33904.19,65563.34,11443.78
Active Total Throughput (tokens/sec),20671.43,69.77,151351.55,,,,,,18625.61,,40920.25,55508.89,79217.23,17694.48
Inter Token Latency (error-adjusted) (ms),,7.97,,,8.22,9.33,10.09,11.46,13.27,15.56,18.53,20.51,62.73,
Request Latency (error-adjusted) (ms),,645.53,,,1008.99,2511.02,3705.36,7039.43,13907.98,25570.94,42797.74,64140.33,166296.27,
Time to First Token (error-adjusted) (ms),,358.09,,,490.95,778.97,1042.43,2829.81,6735.98,14074.62,23874.18,27604.40,40362.58,
Credit Drop Latency (ms),3.46,0.71,31.11,183.24,0.78,0.91,0.98,1.29,1.80,2.87,4.53,13.94,27.01,5.50
Credit-to-Start Latency (ms),1.72,0.52,31.36,397.79,0.61,0.66,0.71,0.80,0.98,1.35,2.78,4.07,18.84,3.23
E2E Output Token Throughput (tokens/sec/user),35.29,0.36,120.27,8081.88,0.48,1.09,2.36,8.46,28.30,57.91,84.59,96.74,110.94,31.13
Effective Concurrency,4.98,0.00,8.00,,,,,,5.00,,7.00,8.00,8.00,1.73
Effective Decode Concurrency,2.63,0.00,7.00,,,,,,3.00,,5.00,5.00,7.00,1.60
Effective Decode Throughput (tokens/sec),258.25,0.00,811349.07,,,,,,231.80,,476.26,542.65,695.32,1248.58
Effective Decode Throughput Per User (tokens/sec/user),90.37,0.00,628152.52,,,,,,102.36,,119.50,125.27,137.34,509.56
Effective Latency (CO-aware) (ms),20068.97,1.17,166297.79,4635933.11,732.35,2301.19,3117.54,6846.92,13831.76,25352.50,37845.43,62041.01,112326.36,22364.52
Effective Prefill Concurrency,2.36,0.00,8.00,,,,,,2.00,,5.00,6.00,8.00,2.05
Effective Prefill Throughput (tokens/sec),19898.53,0.00,151351.55,,,,,,18097.90,,40310.11,54489.34,78704.39,17807.72
Effective Prefill Throughput Per User (tokens/sec/user),9067.37,0.00,71829.20,,,,,,6823.33,,17756.68,29443.77,64973.93,11195.86
Effective Total Throughput (tokens/sec),20156.78,0.00,151351.55,,,,,,18185.63,,40607.66,54994.84,79217.23,17767.20
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,337.90,6.00,5180.00,77380.00,6.28,8.40,14.00,32.00,104.00,318.00,859.40,1566.00,2900.84,670.34
HTTP Chunks Sent,1.00,1.00,1.00,229.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.13,0.00,0.56,29.04,0.00,0.00,0.00,0.00,0.00,0.37,0.43,0.45,0.53,0.19
HTTP Connection Overhead (ms),0.13,0.00,0.56,29.04,0.00,0.00,0.00,0.00,0.00,0.37,0.43,0.45,0.53,0.19
HTTP Connection Reused (ratio),0.69,0.00,1.00,159.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),92.26,2.05,1420.29,21128.28,2.06,2.59,3.89,9.38,27.39,83.86,239.44,431.23,798.07,183.08
HTTP Data Sent (KB),312.57,67.54,952.38,71578.99,86.93,114.94,138.61,194.58,270.20,395.37,554.03,614.92,929.93,172.02
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),20242.45,645.49,166296.25,4635519.94,1034.19,2430.36,3618.00,6874.00,13873.89,25554.31,38774.30,62276.31,112972.99,22382.64
HTTP Receiving (ms),10673.00,131.25,162900.87,2444118.04,143.60,208.07,377.07,971.94,3155.58,10184.53,27515.96,48585.73,94799.77,21242.34
HTTP Sending (ms),0.28,0.10,0.84,64.08,0.11,0.11,0.12,0.13,0.15,0.52,0.61,0.65,0.75,0.21
HTTP Total Time (ms),20242.57,645.86,166296.25,4635548.98,1034.19,2430.36,3618.00,6874.40,13873.89,25554.66,38774.30,62276.31,112972.99,22382.63
HTTP Waiting (TTFB) (ms),9569.16,357.91,40362.40,2191337.82,491.07,753.10,1036.40,2805.93,6697.45,13833.66,23774.90,26806.69,33681.23,8623.68
Input Sequence Length (tokens),80810.69,17344.00,244919.00,18505649.00,22373.44,29494.80,35704.80,50209.00,69911.00,101485.00,142430.00,159464.00,240623.08,44460.80
Inter Chunk Latency (ms),30.58,0.00,933.37,2444099.97,0.00,0.02,26.14,28.44,29.68,30.90,31.92,32.37,180.59,33.87
Inter Token Latency (ms),14.04,7.97,62.73,3215.34,8.26,9.26,10.09,11.42,13.26,15.52,18.49,20.45,28.89,4.95
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1049.78,8.00,20000.00,240400.00,8.00,11.40,23.00,73.00,230.00,826.00,2783.40,5538.20,10416.68,2348.32
Output Token Count (tokens),1049.78,8.00,20000.00,240400.00,8.00,11.40,23.00,73.00,230.00,826.00,2783.40,5538.20,10416.68,2348.32
Output Token Throughput Per User (tokens/sec/user),76.51,15.94,125.51,17519.86,34.63,48.90,54.07,64.43,75.40,87.59,99.10,107.95,121.08,18.13
Prefill Throughput Per User (tokens/sec/user),19253.72,722.42,71829.20,4409100.76,1509.06,2278.35,3427.79,6502.09,10907.59,22062.71,57731.63,65498.70,69630.38,19442.14
Request Latency (ms),20242.47,645.53,166296.27,4635524.59,1034.21,2430.37,3618.04,6874.01,13873.92,25554.34,38774.33,62276.34,112973.01,22382.63
Requested OSL (tokens),1049.78,8.00,20000.00,240400.00,8.00,11.40,23.00,73.00,230.00,826.00,2783.40,5538.20,10416.68,2348.32
Time to First Output Token (ms),9569.54,358.09,40362.58,2191424.61,491.66,753.59,1036.96,2806.60,6697.77,13833.87,23775.12,26806.91,33681.43,8623.65
Time to First Token (ms),9569.54,358.09,40362.58,2191424.61,491.66,753.59,1036.96,2806.60,6697.77,13833.87,23775.12,26806.91,33681.43,8623.65
Time to Second Token (ms),62.36,0.00,383.92,14280.76,0.00,0.19,41.62,53.58,58.74,61.83,65.38,74.38,277.55,46.81
Tokens In Flight (tokens),467327.37,0.00,869044.34,,,,,,482374.06,,669446.09,726960.81,866161.07,178650.95
Usage Completion Tokens (tokens),1049.78,8.00,20000.00,240400.00,8.00,11.40,23.00,73.00,230.00,826.00,2783.40,5538.20,10416.68,2348.32
Usage Prompt Cache Read Tokens (tokens),53416.00,15232.00,136576.00,9401216.00,17472.00,22400.00,26080.00,34416.00,48768.00,64576.00,89536.00,99280.00,132704.00,25135.54
