Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),3287.23,0.00,3855834.34,,,,,,175.31,,3422.91,4758.04,91212.46,15370.71
Active Decode Throughput Per User (tokens/sec/user),61.09,0.00,92269.51,,,,,,2.85,,69.50,112.15,1582.65,285.94
Active Prefill Throughput (tokens/sec),405468.55,3989.18,965787.40,,,,,,400438.81,,642275.11,706929.86,796025.86,176301.83
Active Prefill Throughput Per User (tokens/sec/user),22996.93,2518.33,200238.00,,,,,,19217.74,,39391.23,51349.71,85557.27,15538.90
Active Total Throughput (tokens/sec),405266.21,74.87,3026647.24,,,,,,401707.57,,645011.37,707855.53,799638.36,179602.84
Credit-to-Start Latency (ms),2.08,0.26,118.81,25323.83,0.56,0.72,0.79,0.92,1.11,1.53,2.41,3.86,23.88,5.88
Decode Duration (ms),17301.15,0.00,992660.03,210485763.09,7.28,103.30,397.78,3179.76,8244.27,18865.09,38806.96,64585.15,155487.86,31410.29
E2E Output Token Throughput (tokens/sec/user),34.75,0.06,118.29,422781.69,1.57,7.11,12.51,22.13,34.88,45.24,54.54,63.11,91.45,17.68
Effective Concurrency,79.90,0.00,143.00,,,,,,81.00,,109.00,114.00,131.00,25.49
Effective Decode Concurrency,57.83,0.00,111.00,,,,,,60.00,,81.00,86.00,96.00,19.46
Effective Decode Throughput (tokens/sec),3270.81,0.00,3855834.34,,,,,,173.65,,3414.73,4736.02,91159.98,15334.04
Effective Decode Throughput Per User (tokens/sec/user),60.79,0.00,92269.51,,,,,,2.84,,69.27,111.92,1580.28,285.26
Effective Latency (CO-aware) (ms),23907.44,477.31,994734.74,290857897.86,2496.64,4271.70,5443.38,8465.98,14399.68,26476.86,47872.31,73153.25,167452.02,33107.82
Effective Prefill Concurrency,22.07,0.00,87.00,,,,,,21.00,,38.00,44.00,68.00,13.05
Effective Prefill Throughput (tokens/sec),400784.87,0.00,965787.40,,,,,,397464.63,,641057.45,704064.98,796025.86,180555.93
Effective Prefill Throughput Per User (tokens/sec/user),22731.28,0.00,200238.00,,,,,,19062.67,,39250.67,51130.61,85540.61,15643.11
