Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),416.73,0.00,1075490.12,,,,,,417.29,,728.00,813.30,1049.28,1855.88
Active Decode Throughput Per User (tokens/sec/user),89.56,0.00,354554.44,,,,,,99.13,,118.35,123.25,132.91,431.84
Active Prefill Throughput (tokens/sec),27846.75,6735.57,91032.44,,,,,,26234.14,,40020.92,44760.70,57138.43,9757.66
Active Prefill Throughput Per User (tokens/sec/user),4605.10,1044.20,65054.08,,,,,,3828.50,,7874.03,9974.96,23602.06,3928.77
Active Total Throughput (tokens/sec),27423.13,83.66,91778.11,,,,,,26332.65,,40366.25,44881.89,57467.81,10694.74
Inter Token Latency (error-adjusted) (ms),,0.02,,,9.01,9.84,11.25,12.51,14.67,17.66,23.40,31.40,74.38,
Request Latency (error-adjusted) (ms),,940.13,,,3949.36,6056.25,9391.94,18442.69,27871.31,43942.46,76414.03,96161.03,197904.03,
Time to First Token (error-adjusted) (ms),,520.60,,,1164.79,3637.99,5697.65,12170.60,19498.80,28333.50,43025.55,53912.38,84497.11,
Credit Drop Latency (ms),4.71,0.89,53.95,343.66,0.92,1.12,1.23,1.45,2.13,3.21,5.91,24.45,33.76,8.17
Credit-to-Start Latency (ms),2.16,0.58,55.08,655.25,0.68,0.78,0.83,0.94,1.12,1.58,3.27,5.06,25.89,4.53
E2E Output Token Throughput (tokens/sec/user),22.25,0.10,101.06,6740.48,0.23,0.74,1.18,3.55,12.95,33.27,60.88,78.95,94.66,24.28
Effective Concurrency,12.04,0.00,16.00,,,,,,12.00,,15.00,16.00,16.00,2.82
Effective Decode Concurrency,4.63,0.00,13.00,,,,,,5.00,,8.00,9.00,11.00,2.47
Effective Decode Throughput (tokens/sec),401.37,0.00,1075490.12,,,,,,404.68,,724.08,810.17,1037.69,1823.06
Effective Decode Throughput Per User (tokens/sec/user),86.26,0.00,354554.44,,,,,,98.62,,118.21,122.98,132.62,424.14
Effective Latency (CO-aware) (ms),36837.39,1.67,256287.06,11198567.68,3576.99,5981.08,9366.39,18157.19,27482.95,43332.81,72151.42,94103.44,178542.90,33306.79
Effective Prefill Concurrency,7.41,0.00,15.00,,,,,,7.00,,13.00,14.00,15.00,3.69
Effective Prefill Throughput (tokens/sec),26446.59,0.00,91032.44,,,,,,25877.70,,39685.66,44001.22,57138.43,11289.55
Effective Prefill Throughput Per User (tokens/sec/user),4373.55,0.00,65054.08,,,,,,3715.97,,7781.72,9865.02,17540.35,3958.77
Effective Total Throughput (tokens/sec),26847.96,0.00,91778.11,,,,,,26241.06,,40042.95,44438.62,57467.81,11288.07
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,380.18,2.00,6241.00,115196.00,4.02,8.00,14.20,37.00,107.00,339.00,863.60,2011.10,3913.78,771.15
HTTP Chunks Sent,1.00,1.00,1.00,303.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.15,0.00,1.48,44.99,0.00,0.00,0.00,0.00,0.00,0.40,0.47,0.51,1.22,0.25
